"Player","Team","Opponent","DK Position","DK Salary","DK Projection","DK Value","DK Ownership","DKSlateID","DK Ceiling"
"Mike Gesicki","MIA","BUF","TE","4000","7.3","-3.6","0.5","19185162","10.6"
"Cordarrelle Patterson","ATL","TB","WR","3800","6.8","-3.7","0.5","19184608","9.8"
"Parris Campbell","IND","LA","WR","3600","6.4","-3.7","0.5","19184626","9.5"
"Ryan Griffin","NYJ","NE","TE","2600","4.4","-3.7","0.0","19185236","6.4"
"Marquise Goodwin","CHI","CIN","WR","3500","6.1","-3.8","0.5","19184636","10.3"
"James Robinson","JAX","DEN","RB","6400","11.8","-3.8","0.5","19184108","16.7"
"Jamison Crowder","NYJ","NE","WR","4500","8.2","-3.8","0.5","19184580","11.2"
"Damien Williams","CHI","CIN","RB","4900","8.8","-3.9","0.5","19184152","14.5"
"Harrison Bryant","CLE","HOU","TE","2500","4.1","-3.9","0.0","19185458","8.4"
"Jack Doyle","IND","LA","TE","3100","5.1","-4.1","0.5","19185192","7.4"
"Josh Jacobs","LV","PIT","RB","6000","10.8","-4.1","0.5","19184118","14.7"
"Quez Watkins","PHI","SF","WR","3200","5.3","-4.1","0.5","19184678","8.3"
"Rams ","LA","IND","DST","4500","5.8","-4.1","0.5","19185502","10.2"
"Dan Arnold","CAR","NO","TE","2900","4.6","-4.2","0.0","19185212","7.1"
"Mark Ingram II","HOU","CLE","RB","5000","8.7","-4.2","0.5","19184142","11.0"
